,Company,Website,Source,Description,Location,SDG Goal,five Ps,Rainmaking SDG Subtopic,Impact Statement,Location of Impact
937,Impact Roasters,http://impactroasters.dk,Rainmaking,IMPACT RºASTERS - Legendary coffee with impact,Denmark,10,Prosperity,,We invest in projects related to youth development; coffee quality improving; job-creation. The local community develops projects themselves; thereby ensuring sustainability and local ownership.,Developed Markets; Emerging Markets
938,Impact Terra,https://www.impactterra.com/,Rainmaking,"We create mobile technology for farmers and agricultural stakeholders. We believe that technological developments such as mobile apps, drones, GPS mapping, and soil measurement tools are essential for improving agricultural efficiency and productivity throughout developing countries. Additionally, absence of legacy infrastructure, and rapidly reducing prices are key drivers for the fast adoption of mobile technology in these countries. Our mobile app Golden Paddy is developed to introduce the power of information in rural areas in developing countries. Our users are farmers, retailers, brokers, wholesalers, agribusinesses as well as NGOs and CSOs. We currently operate in Myanmar and will expand our products and services to other South-East Asian countries.",Myanmar,2,People,2.2 Digital technologies for Smallholder Farmers,Offers a digital platform that integrates satellite based data insights to provide personalised farming advice and stimulates financial inclusion for smallholder farmers.,Myanmar
939,Impact.Earth,https://www.impact.earth/,Rainmaking,The art of creating Financial and Social wealth on the blockchain.,Netherlands,13,Planet,13.9 Mitigation Enablers,The art of creating Financial and Social wealth on the blockchain.,Netherlands
940,ImpactMarket,https://impactmarket.com/,Rainmaking,the charitable token designed to boost social impact through an open and distributed protocol based on the Ethereum blockchain,Portugal,16,Peace,16.4 Civic tech platforms,Financial infrastructure for the new impact economy,Unknown
941,Incident Response System,incidentresponsesystem.com,Rainmaking,"Incident Response System offers an emergency incident management solution. Product offerings include Scrutinizer, FlowPro, and Flow Replicator. Scrutinizer is a network traffic analytics system which provides necessary data to the rescue team to act faster. FlowPro provides information to the public safety agencies to perform root-cause analysis of both network performance and security events. Flow Replicator is used to duplicate UDP datagrams.",USA,1,People,1.3 Disaster risk reduction technologies,Emergency incident management solution,United States of America
942,INCIFARMS,www.incifarms.com,Rainmaking,"Incifarms is developing the sustainable urban farming technology to transform the way the plants are grown, with responsible automation replacing the unnecessary human movement. The automated control and machine learning data systems gather information from multiple data points and visualize the analysis for optimization. The grow systems are most space, labor, and crop efficient, brings the plants to the human.",Norway,2,People,2.1 AgTech for Sustainable Farming,Cultivates leafy greens in un-utilized urban spaces using aeroponics,Norway
943,Commons Energy,http://www.commonsenergy.com/,Rainmaking,Commons Energy a public purpose energy services company (or PPESCO) is an innovative take on a tested model using financing from mission aligned sources to finance the project. The client repays investors from resulting energy savings.,,7,Prosperity,7.4 Energy Enablers,help improve the comfort safety efficiency of public purpose buildings,United States of America
944,Inclusivity Solutions,http://inclusivitysolutions.com/,Rainmaking,Inclusivity Solutions works with mobile operators insurance companies and other distribution partners to deliver digital insurance solutions that meet the needs of emerging consumers. Inclusivity Solutions uses digital channels such as mobile phones to improve outreach and delivery. Inclusivity Solutions provide complete solutions including strategy product and process design implementation support and technology platforms to not only introduce and grow digital insurance but also to build sustainable inclusive insurance markets.,South Africa,1,People,1.1 Mobile connectivity for financial inclusion,Experts in creating inclusive digital insurance markets.,South Africa
945,Inclusivity.network,http://inclusivity.network/en/,Rainmaking,"a complete and evolving banking and financial ecosystem based on Blockchain, 'Mobile money', and other technologies an alternative to the traditional financial and baking system",Singapore,1,People,1.1 Mobile connectivity for financial inclusion,"a complete and evolving banking and financial ecosystem based on Blockchain, 'Mobile money', and other technologies an alternative to the traditional financial and baking system",Unknown
946,Indego,https://www.rideindego.com,Rainmaking,"by focusing on the locations of bike stations and innovative payment and pricing options, philadelphia is making bike-sharing more socially equitable. launched in 2015, philadelphia’s bike-share service, indego, has built nearly one-third of its 100 stations in low-income and underserved neighborhoods of the city, making access to bike-sharing possible for more people. the system accepts cash payments, providing easier access for riders without a credit card, and credits can be purchased at local convenience stores. indego offers a number of flexible plans, including credits for food-stamp recipients that cost just $5 per month and provide unlimited trips lasting one hour or less. the bike-share program has used inclusive advertising campaigns showing its bikes in use in a broad range of city neighborhoods. indego has also undertaken extensive community engagement and outreach in planning station locations and spreading the word about the service. the best part of managing indego is seeing the ownership that neighborhoods are taking for the program. cara ferrentino – program manager, office of transportation and infrastructure systems, city of philadelphia. why you should care about 25% of philadelphians live in poverty , while 68% of adults and 41% of youth in the city are overweight or obese. making bike-sharing services available to low-income communities helps to alleviate both challenges. low-cost transportation also improves access to employment.",USA,13,Planet,13.4 Decarbonised Transport,bike-sharing for low-income neighborhoods,United States of America
947,Indian Ocean Trepang,http://www.iotrepang.com,Rainmaking,Indian Ocean Trepang is an industrial aquaculture sea cucumber business based in Madagascar. The cucumber aquaculture is conducted in an unprecedented breeding technique developed by a Malagasy scientific team. The larvae are transferred to the fishermen from neighboring villages who sell cheaply to IOT once mature. The company determines the (drying packaging) for resale abroad. This type of farming generates a significant environmental impact the sea cucumber is both extinct in its natural population and acting as animal filter. It feeds on waste in the sand do not require food or intake of antibiotics that would unbalance the water quality and improves the contrary by its natural filter.,Madagascar,16,Peace,14.5 Sustainable Seafood Solutions,specialized in sandfish sea cucumber farming,Madagascar
948,ConnectDER,http://connectder.com/,Rainmaking,At ConnectDER we craft technology and business solutions for the distributed generation industry. Our flagship product provides plug and play interconnection for distributed energy resources (DER's) like solar photovoltaic systems energy storage systems and electric vehicles.ConnectDER designs and manufactures a solution that enables the connection of grid ready distributed energy resources (solar photovoltaic systems) by creating a connection point to a collar that installs between a residential electric meter and a meter socket. It also offers ConnectDER Cloud a system that enables fleet operators to retrieve metering and operational data commission and decommission ConnectDER units and manage operating parameters and firmware. ConnectDER was formerly known as Infinite Invention LLC and changed its name to ConnectDER in February 2015. The company was founded in 2011 and is based in Philadelphia Pennsylvania.,USA,7,Prosperity,7.4 Energy Enablers,Plug and play Solar Connection,United States of America
949,Inficure AB,https://inficurebio.com/,Rainmaking,InfiCure Bio is a life science company focusing on preclinical development and validation of drugs that target chronic inflammatory and fibrotic conditions,Sweden,3,People,,Preclinical CRO specializing in anti-inflammatory and anti-fibrotic drugs,Developed Markets
950,d.Light Design,http://www.dlightdesign.com,Rainmaking,d.light is an international social enterprise serving people without access to reliable electricity. Its mission is to enable households without reliable electricity to attain the same quality of life as those with electricity. d.light will begin by replacing every kerosene lantern with clean safe and bright light. By 2020 the company aims to have improved the lives of 100 million individuals.,india,7,Prosperity,7.1 Energy Access Solutions,Providing distributed solar energy solutions,india
951,Inforglobe Oy,http://inforglobe.com,Rainmaking,"Provides software for participatory analysis and decision making helps to succed succeed in challenging multi-stakeholder processes, involving clients, stakeholders and staff",Finland,17,Partnerships,,"Inforglobe provides software for participatory analysis and decision making. We help you to become a more engaging organisation and succeed in challenging multi-stakeholder processes, involving your clients, stakeholders and staff.",Developed Markets
952,D&E Green Enterprises,http://www.dandegreen.com/,Rainmaking,"D&E Green Enterprises seeks to break the cycle of energy poverty in Haiti by specializing in the manufacture and distribution of low-cost, high-efficiency energy technologies and a cutting edge financial plan.",Haiti,7,Prosperity,7.1 Energy Access Solutions,,Haiti
953,Dall Energy,http://www.dallenergy.com/,Rainmaking,The main goal with the new technologies we develop is to reduce environmental impact of energy production. Therefore focus is on: - CO2 neutral fuels (Biomass); Increased energy efficiency and Lower emissions. ,Denmark,7,Prosperity,,Dall Energy develop technologies that reduce the environmental impact of energy production.,Developed Markets
954,Intelligent Growth Solutions,https://www.intelligentgrowthsolutions.com/,Rainmaking,Developer of automated vertical farming solutions,United Kingdom,12,Prosperity,,Leading edge innovator to enable highly efficient production for vertical farming,
955,inherQuests,http://www.inherquests.com/,Rainmaking,"We provide girls with a fun financial education so when they grow up and become women, they have a higher chance of breaking free of the financial burdens of debt and dependency. ",,4,People,,"We create fun financial education products for girls. Our first product is a year-long curriculum for girls K-5, delivered in monthly boxes through an annual membership.",
956,Initiative for Smallholder Finance,http://www.initiativeforsmallholderfinance.org/,Rainmaking,The Initiative for Smallholder Finance (ISF) is a multi donor and investor platform for the development of financial services for the smallholder farmer market. It was launched in May 2013 with the intention of making marked progress toward closing the gap between the $450 billion in smallholder financing demand and the current $10 20 billion supply. The ISF s primary role is to act as a design catalyst. The emphasis is on mobilizing additional financing for smallholders and seeding replication of innovative models in new markets.,South Africa,2,People,2.2 Digital technologies for Smallholder Farmers,A multi donor and investor platform.,"Eastern Africa, Middle Africa, Southern Africa, Western Africa, Northern America, Southern Asia, South-Eastern Asia, Central America, South America"
957,Injurymap,https://www.injurymap.com/,Rainmaking,"Injurymap offers an app for pain management in case of injuries. The app provides a customized pain rehabilitation training program based on the requirement and feedback from the user. The app tracks the progress and provides an analysis of the performance. The program is automatically adjusted based on the progress and provides new exercises for pain relief. The app provides alerts for performing the exercises and also a full report of the training process. The app offers programs for pain in back, neck, elbow, ankle etc.",Denmark,3,People,,Treatment would normally require physiotherapy; which can be both costly and time-consuming. Injurymap empowers its users to safely and effectively rehabilitate their injuries without a physiotherapist. The app is designed around user-feedback to automatically select medically approved exercises that suit the rehabilitative needs of each individual user.,Developed Markets
958,Inkrement as,https://campus.inkrement.no/,Rainmaking,"The campus is developed and operated by Increment as. We are a technology company with broad expertise in the development and management of tailor-made, internet-based learning systems. We started in 2010 and have expertise in pedagogy, system development and system management. ",Norway,4,People,,Campus is a Learning platform specially adapted reverse instruction ( flipped classroom).,Developed Markets
959,Inne,https://inne.io/,Rainmaking,inne provides a fertility monitoring app for women. The company develops a single step test to measure the hormonal level of the users and the results are interpreted in the application platform. The self-learning algorithm helps in giving personalized insights for the users to manage their fertility and helps in natural contraception method.,Germany,5,People,,"inne is a hormone-based mini lab for women. The first of its kind, inne is a tool of radical self-knowledge",
960,DerTek,http://dertek.com.mx/index.html,Rainmaking,"DerTek is a young and sustainable company, driving energy crops, collecting used vegetable oil and product Biofuels based on renewable energies. Founded on the firm belief of benefit to the environment and society.",Mexico,7,Prosperity,7.2 Energy Sources,To Turn Worthless Weeds into Clean Energy.,Mexico
961,drayson technologies,https://goexplorer.org/harnessing-energy-from-radio-waves/,Rainmaking,"freevolt is an energy-harvesting technology that turns radio waves into usable electricity to charge low power electronic devices. freevolt is a technology that harvests ambient radio frequency energy from radio broadcast, mobile and wi-fi networks – energy that currently goes to waste – to produce small amounts of electricity. this enables a range of low-power devices to be powered without disposable batteries. the freevolt harvester comprises a multi-band antenna and rectifier capable of absorbing energy from multiple radio frequency bands at almost any orientation. the small, lightweight design is scalable and suitable for a range of uses, from low-power internet of things (iot) devices such as wearables, sensors and beacons, to the built environment where the potential exists to integrate freevolt into the fabric of urban and industrial architecture. the first commercial application of freevolt is the cleanspace tag, which is a personal air pollution smart sensor providing users with insight into the quality of the air they are breathing. why you should care billions of low-energy internet of things devices will be deployed over the coming years , all of which require a dedicated power source or battery. by harnessing energy from radio frequency waves, freevolt is designed to extend the battery life of low-power iot devices indefinitely, or to vastly extend the time between battery swaps, thereby reducing the costs and environmental impacts associated with changing batteries.",United Kingdom,7,Prosperity,7.4 Energy Enablers,harnessing energy from radio waves,Global
962,E-Hands Energy,http://www.ehandsenergy.in/,Rainmaking,E Hands Energy is in the business of providing clean energy access to people in remote areas of rural India who are off the country's electricity grid. They are one of the very few companies in India to offer both solar and wind based renewable energy solutions. E Hands Energy partners with Kestrel Renewable Energy subsidiary of Eveready Pty. Ltd. for micro wind turbine installations in India. E Hands Energy are among the chosen few globally for seed funding by ERM's Low Carbon Enterprise Fund (LCEF). E Hands Energy has been rated as one of the five most promising companies in India by New Venture India an independent body monitoring and evaluating upcoming companies in clean energy.,india,7,Prosperity,7.1 Energy Access Solutions,To provide clean energy access to people in remote areas.,India
963,Innovosens,http://www.innovosens.com,Rainmaking,"Innovosenc has developed a continuous glucose monitoring system for diabetics. The company is developing ultrasensitive wearable biosensors for detection of different metabolites for diabetes. It is also developing a cloud server which connects health IOT based biosensors (combination of nano technology and smart wearables) with the app. Its first product is a multi parameter diabetic sensing device, targeted for type 1, type 2, gestational and pre-diabetes. The device will help diabetic patients and caregivers understand the reasons behind the fluctuations in blood glucose levels.",Sweden,3,People,,Innovosens APP – provides easy access of glucose and other parameters to both users and caregivers on continuous basis and reference to the historical values for in-depth analysis on the trends of each measured analytes. - - If you are aiming for personalized diabetes management; striving for progressive wellness through personal health guidance; or trying to reach personalized fitness goals or you are training to reach your peak performance levels; Innovosens helps in convenient monitoring of multiple parameters.,Developed Markets
964,ecobee,ecobee.com,Rainmaking,"ecobee is a Canadian technology company that designs and develops thermostats for residential applications and commercial applications. Its offering spans across five generations and comes built-in with a touchscreen which allows users to control the devices using the same or a companion smartphone application. Its flagship ecobee 4 works with up to 32 remote temperature/motion sensors to adjust the thermostat based on the surroundings of the user. The remote sensors detect temperature and occupancy for controlling to the average room temperature of all sensors that are included in the mode setting. The fifth generation thermostat adds features to its built-in Alexa speaker, has a redesigned temperature sensor, and works with Google Assistant and Siri as well. In addition, the company offers smart switches which come along with occupancy and daylight sensors. Clientele includes GoDaddy, Pizza Pizza, Subway, and more. ecobee has received multiple accolades including the Deloitte Technology Green 15 Award for Canadian green technology, AHR Expo Innovation Award in the category of building automation in 2011, among others",Canada,7,Prosperity,7.1 Energy Access Solutions,Developer of smart thermostats for commercial and residential applications,Canada
965,Inoma,http://www.inoma.mx/,Rainmaking,"We develop educational video games as a resource to support basic education for children; we seek to develop competencies such as technological literacy, problem solving and team work, as well as promote subject specific learning.",Mexico,4,People,,"We seek to generate skills such as mastery of technology, problem solving and teamwork; as well as promoting specific learning of various subjects.,,es,and what we are offering has that philosophy, that at its own pace, the child can learn and move forward.",
966,EEx,efficiencyexchange.com,Rainmaking,"EEx is a solutions provider for energy consumption management in factories. It enables users to organize, review, and store bills. Claims to detect billing errors. Provides solutions for demand forecasting, power factor, transformers, and others.",USA,7,Prosperity,7.4 Energy Enablers,Solutions provider for energy consumption management in factories,United States of America
967,ELIIY Power,eliiypower.co.jp,Rainmaking,"ELIIY Power develops, manufactures, & markets lithium-ion batteries and power storage systems. It offers products such as electricity storage systems (domestic use), and stationary electricity storage systems (commercial & industrial usage). It also provides custom-built products including high-capacity energy storage systems and solutions for remote monitoring of storage systems.",Japan,7,Prosperity,7.3 Energy Storage,Lithium based battery systems and ESS provider,Japan
968,Emergent Energy,http://www.emergentgroup.com,Rainmaking,"Emergent streamlines the development of renewable energy projects by integrating the host community into the design process and sharing the financial benefits. Our model revolutionizes an industry in which projects that are technically and financially feasible are rejected by the local populace due to their negative impacts. We utilize unique design and financing methods to provide significant incentives for the host community, building local support and mitigating the risk of failure.",USA,7,Prosperity,7.4 Energy Enablers,Emergent streamlines the development of renewable energy projects by integrating the host community into the design process and sharing the,United States of America
969,InspiraFarms,http://www.inspirafarms.com/,Rainmaking,!nspiraFarms supplies turnkey modular and affordable agricultural processing and value addition platform to the small scale fruit vegetable and dairy industries that meet global food safety certification and quality standards for the supply of healthy and nutritious food to local and international markets.,United Kingdom,2,People,2.3 Postharvest Food Preservation,Cold chain and food processing technology.,UK
970,Energon,energon.it,Rainmaking,"Energon is a collaboration of companies aimed at energy efficiency. Companies include an energy services company (ESCO), solutions for energy carriers market, facility solutions for hospitals, civil and industrial buildings, and residential solutions. An Italian company with offices in Milan, Como, Vicenza, Rome, Trieste and Bolzano.",Italy,7,Prosperity,7.4 Energy Enablers,Solutions provider for energy efficiency,Italy
971,ennesys environmental energy systems,https://goexplorer.org/algae-powered-water-purification-and-energy-production/,Rainmaking,"jaegerfelt ennesys use co2, sunlight and microalgae to purify wastewater, produce clean energy, and produce fertilizer. in opaque bioreactors placed on building roofs or façades, algae grow in sunlight, fed by nutrients in wastewater. water is purified to international standards allowing for irrigation and sanitation uses, and the algal biomass increases. after separation, the algal biomass can be converted to biogas and bio-boosting fertilizer. depending on the installation, the tubular bioreactors can also be incorporated into the building’s heating system, providing solar thermal qualities to improve their thermal behavior and reduce heating costs. why you should care combining wastewater purification and clean energy production, ennesys’ technology allows city districts to recycle their organic waste and produce energy to cover local consumption. the low cost of the energy generated and the wastewater treated makes the technology scalable to other settings, particularly where decentralized wastewater treatment is required.",France,7,Prosperity,7.2 Energy Sources,algae-powered water purification and energy production,france
972,Envirofit India Pvt Ltd,http://www.envirofit.org/,Rainmaking,"Envirofit is a social enterprise designing, producing, and selling efficient, durable and affordable cookstoves that create environmental, health, and social impacts for homes and institutions in developing nations.",India,7,Prosperity,7.1 Energy Access Solutions,To deliver smarter cooking technology for a better living,"Kenya, Ghana, Nigeria, United States of America, India, Netherlands, Guatemala, Honduras, Mexico, Peru"
973,Intao,http://www.intao.io/,Rainmaking,Learning with Intao - transformation power for people,Germany,8,Prosperity,,Helping organisations bloom by fostering cultures of collaboration and learning. ,
974,Integrico Composites,http://integrico.com/,Rainmaking,Demand for freight transportation is projected to double by 2035. Yet much of the global aging rail infrastructure is built with wood that requires high maintenance frequent replacement and the use of chemicals to prevent fast deterioration.At IntegriCo Composites we re committed to building the rail future with the next generation of composite rail ties or sleepers made from landfill bound recyclable plastics. Utilizing our unique patented processing technology our railroad products outperform others by the most important measure long life in track. And with our 10 year warranty we stand behind our products.,USA,9,Prosperity,9.2 Advanced technologies for sustainable industry,Leading manufacturer of composite railroad ties,United States of America
975,Integrify,http://www.integrify.com/,Rainmaking,"Integrify is built to work on any device and allows users to create and manage automated workflows with drag and drop ease. Workflows can be simple or extremely complex, including hundreds of tasks and subtasks with advanced business rules and logic.",Finland,10,Prosperity,,provides workflow automation software that powers the business operation,Developed Markets
976,Intelligent Precision Farming,ipf-uk.com,Rainmaking,"IPF UK is a company offering services for farm data collection and analytics to improve the farm yields. It offers various precision farming services such as farm mapping, soil zoning and sampling for variable rate application of fertilizers and water, nutrient maps for the farm, high-resolution satellite imagery, on-farm data collection, yield maps, etc. It also provides a web-based tool marketed as Toolbox for generating variable rate application scripts.",United Kingdom,2,People,2.1 AgTech for Sustainable Farming,Provides services for farm data collection and analytics,United Kingdom
977,Intermedix,intermedix.com,Rainmaking,"Intermedix, formerly known as Medical Consultants delivers technology-enabled services and SaaS solutions to health care providers, government agencies, and corporations. It offers practice management, revenue cycle management and technology solutions to emergency physicians and hospital emergency departments, emergency medical services (ambulance) agencies, urgent care centers, and fire departments throughout the United States. The company also provides technology solutions for crisis management and global security to the clients in airlines, communications, defense, education, energy and utilities, entertainment, finance, manufacturing, private EMS, retail, technology, and transportation sectors. The company claims to support more than 15,000 health care providers with practice management, revenue cycle management, and data analytic tools. Also claims to connect more than 95 percent of the U.S. population with crisis management and emergency preparedness technologies.",USA,1,People,1.3 Disaster risk reduction technologies,Healthcare analytics and emergency management solutions,United States of America
978,Internet of Trees,internetoftrees.tech,Rainmaking,"Internet of Trees provides forest fire monitoring solutions. It provides a suite of sensors and wireless monitoring modules that collects and sends data regarding forest temperature, humidity, and microclimate. The data collected is analyzed and stored in the cloud which can be accessed by the user through a web or mobile application. It also sends alert notification to the support team at the time of extreme observations and fire detection.",United Kingdom,1,People,1.3 Disaster risk reduction technologies,Provider of forest fire monitoring solutions,United Kingdom
979,Inuk,https://www.inuk.co,Rainmaking,a tool to compensate carbon emissions,France,13,Planet,13.9 Mitigation Enablers,"We provide a technological response to the voluntary carbon offset market, via a transparent, reliable and ultra-secure tool. ",France
980,iNuka Pap,http://www.inukapap.co.ke/,Rainmaking,"iNuka pap is a Mobile phone platform that allows Sacco Members and Microfinance institutions to receive instant micro-loans through their mobile phones. Through the platform, members can also insure themselves together with their families for as low as $ 0.02 a day. They provide the platform and funding for the loan disbursement to their partner saccos and MFIs enabling them to provide instant financial services to their members risk free. iNuka Pap has combined micro-credit and Micro-insurance on a mobile platform providing access to some of the most affordable insurance products in the market.",Kenya,1,People,1.1 Mobile connectivity for financial inclusion,Offering micro‐insurance and micro‐credit.,Kenya
981,Gael Force Wind Energy,gaelforceenergy.com,Rainmaking,"Gael Force Wind Energy designs, develop monitoring and wind analysis systems. Developed a portal and a report generation software that monitors and performs analytics on the real-time data uploaded by the user. Also, claims to offer turnkey solutions for planning, construction, operation, and maintenance of the wind turbine systems. Has been awarded Endeavour-Entrepreneur award, Endeavour Entrepreneur programme and much more.",Ireland,7,Prosperity,7.1 Energy Access Solutions,Developer of wind monitoring and analysis systems,Ireland
982,Invesdor,https://www.invesdor.com/en,Rainmaking,"Invesdor provides an online investment matching service, where entrepreneurs looking to raise equity financing can connect easily with investors who are seeking to discover and invest in exciting new startups from the Nordic region. Invesdor also gives businesses full discretion over how they raise money, including deciding who can see their investment requirements and who should be able to invest. For investors, Invesdor enables easy searching and access to a wide range of investment opportunities. Finnish, Swedish, Estonian and Danish companies can raise up to 1.5 million Euros through Invesdor, while investments can come from anywhere in the world.",Finland,8,Prosperity,,Nordic equity-based crowdfunding platform,Developed Markets; Emerging Markets
983,Ioncell,https://ioncell.fi/,Rainmaking,"Ioncell is a technology that turns used textiles, pulp or even old newspapers into new textile fibers sustainably and without harmful chemicals. The process converts cellulose into fibers which in turn can be made into long-lasting fabrics.",Finland,9,Prosperity,9.2 Advanced technologies for sustainable industry,Upcycles textiles and other materials to consumer products,Finland
984,iOpinion,https://www.iopinion.eu/,Rainmaking,"iOpinion automates the information management in health surveys that comprises of medical, scientific, and statistical solutions.",Sweden,8,Prosperity,,"Employee health,organization, and leadership survey solution",Developed Markets
985,GCL,http://en.gclsi.com/,Rainmaking,GCL System Integration Technology Co.Ltd (002506 Shenzhen Stock) (GCL System) is part of GOLDEN CONCORD Group (GCL) which is an international energy company specializing in clean and sustainable power production. The group founded in 1990 now employees over 25000 people. GCL supplies 29% total worldwide wafer capacity yield represents 22% silicon market shares and owns global assets worth nearly 16 billion USD.With over 2 GW module shipment output in 2015 GCL System is committed to becoming the world leading solar energy company. It delivers a one stop cutting edge integrated energy system. Based on a fully integrated Vertical PV industrial chain capacity operation GCL System establishes its business foundation on the development of a state of the art solar solutions package which incorporates DESIGN PRODUCT SERVICE.,China,7,Prosperity,7.2 Energy Sources,specializing in clean and sustainable power production,China
986,Karmalicious AB,http://karma.life,Rainmaking,Mobile application offering surplus food  from restaurants,Sweden,12,Prosperity,,1.3 billion tonnes of food is wasted every year - Yearly CO2 emissions from food waste is equivalent to that of 3 million cars - Food waste equals 1 trillion dollars in losses; annually - With Karma; over 284 tonnes of food has been rescued; instead of ending up in the bin. - How? By giving restaurants; cafes and grocery stores the opportunity to sell their surplus food on Karma’s app to users; at half price.,Developed Markets
987,IPM - Intelligent Pollutant Monitoring,http://intpm.dk,Rainmaking,Intelligent Pollutant Monitoring(IPM) has developed a wireless sensor solution for water quality monitoring. The sensor needs to be installed in the catchment area of water wells and water distribution networks which monitors the concentration of chemicals and pollutants in the water. Can be used for real-time continuous measurement of pollutants in water and soil.,Denmark,6,People,,IPM was founded in 2014 with the aim of implementing automatic monitoring of pollutants in the environment that can replace the current demanding measurement techniques. The idea arose from the global need for real-time continuous measurements of pollutants in water and soil,Developed Markets
988,iRaiser,https://www.iraiser.eu/,Rainmaking,Aidbuilder is peer-to-peer online community that turns supporters into fundraisers in just few minutes and extends one's reach of donors,Denmark,17,Partnerships,,iRaiser is a SaaS vendor for nonprofits providing online fundraising solutions.,Developed Markets
989,Gilkes Energy,http://www.gilkesenergy.com/,Rainmaking,Gilkes Energy Ltd (GEL) specializes in the development of hydro power projects in the UK especially joint ventures with landowners. Building upon the 160 year track record of our parent company Gilbert Gilkes & Gordon Ltd (GGG) they have put together a highly skilled development team which includes a full suite of engineering commercial financial and legal expertise under one roof'.,United Kingdom,7,Prosperity,7.2 Energy Sources,development of hydro power projects in the UK,United Kingdom of Great Britai
990,Iron Goat,http://www.irongoattech.com/,Rainmaking,"Iron Goat is replacing conventional methods for livestock feed production with automated robotic processes that can produce a better product at one-third of the cost. Our platform is fully autonomous and generates its own fuel from the biomass being harvested. The pelleted product we produce has reduced waste, better nutrient content, and better transportation and handling characteristics compared to baled hay.",USA,2,People,2.1 AgTech for Sustainable Farming,Iron Goat - A better way to make hay,United States of America
991,iso paint nordic,https://isopaint-roof-restoration.com/,Rainmaking,"the iso paint nordic climatecooler roof coatings transform harmful exhaust gases into harmless salts and also generate energy savings by reflecting more sunrays than normal coatings. iso paint nordic developed climatecooler catalyst – a combined paint and sealant roof coating. catalyzers within the coating use uv light from the sun and humidity from the air to break down harmful nitrogen oxides, known as nox gases, into harmless salts. at the same time, the coating helps to reflect more of the sun’s rays to reduces surface temperatures on roofs by up to 30%, according to the company. this keeps roofs and buildings cooler, reducing energy costs. according to iso paint nordic, the coating’s cooling effect also extends the life of treated surfaces. \\solar reflectance: reflects up to 80 % of heat radiation.\\ why you should care cities around the world face problems with harmful air pollution. if applied on all roofs",Denmark,9,Prosperity,9.2 Advanced technologies for sustainable industry,roof coatings that reduce air pollution,Denmark
992,ITK,itk.fr,Rainmaking,"itk develops software solutions for farm data analytics and planning the precision application of agrochemicals and fertilizers on field crops and horticulture crops especially vineyard crops. The company has two primary solutions- Vintel which focuses on vineyard irrigation management including water stress levels on crops and irrigation deployment and Cropwin which focuses on field crops and uses satellite imagery and primary data entered by the farm scouts to perform analytics and help in yield prediction, preparation of variable rate prescriptions for fertilization and irrigation, etc. The company has an R&D partnership with Medria which offers integrated hardware and software solutions connected using IoT for precision livestock management.",France,2,People,2.1 AgTech for Sustainable Farming,Develops software platform for farm data analytics and precision agriculture planning,France
993,iUNU,http://www.iunu.com/,Rainmaking,Founded in 2013 IUNU LLC (pronounced you new ) is a Seattle based lighting company. Their flagship product is an optimized full spectrum dual bulb plasma lighting fixture. The output is comparable to a 1000watt high intensity discharge light while consuming only half the electricity and producing merely a third of the heat. rnAs a grassroots company their goal is to improve the feasibility and simplicity of indoor horticulture by utilizing energy efficient technology designed to increase plant growth and improve overall quality. They increase quality and accountability by completing all their product assembly in Seattle under the watchful eyes of their experienced engineers. They are also proud to work exclusively with US based manufacturers and distributors. Their industry leading design team is responsive to industry demands ready to incorporate market specific design features based on customer requirements.,USA,2,People,2.1 AgTech for Sustainable Farming,transforming the agriculture industry with efficient and intelligent lighting,United States of America
994,Jaan Pakistan,https://www.jaanpak.com/,Rainmaking,"Jaan Pakistan is a Lahore-based startup that manufactures renewable energy products. Provides solutions to the rural and low-income communities in Pakistan. Products include solar cookstoves, the saber stove that uses the evacuated tube technology and firewood cookstoves.",Pakistan,15,Planet,,dedicated towards researching and manufacturing affordable energy solutions for low-income communities across Pakistan,
995,Jamii ApS,http://www.jamii-pay.com,Rainmaking,Unlocking the potential of unbanked communities,Denmark,17,Partnerships,,Our mission is to empower people with big dreams in need of financial support by increasing access to loans.,Developed Markets
996,Jamii Pay,www.jamii-pay.com,Rainmaking,"Jamii Pay offers financial services and identification to the 1,7 billion people in the world who do not have official ID. Our solution will be built on the Ethereum blockchain, with the identity platform build on top of Swiipe and the currency linked to MakerDAO‚Äôs Dai Stablecoin and the App setup and functionality draws on inspiration from Vodafone M-PESA and Danish Mobilepay.",Denmark,1,People,1.1 Mobile connectivity for financial inclusion,A digital track record for savings groups,Denmark
997,JAVARA,http://javara.co.id,Rainmaking,Inspired by Indonesia s food biodiversity indigenous wisdom and spiritualism JAVARA was founded by Helianti Hilman in 2008. JAVARA works across agricultural value chains from production to distribution in order to preserve such biodiversity and bring community based organic products to broader markets. We are proudly investing our time to scout discover and relive the forgotten food biodiversity and traditional techniques as well as the old recipes. Working with over 50000 farmers and 2000 food artisans selling over 600 premium artisan food products JAVARA is currently known as the leading social enterprise in Indonesia that works with a vast range of biodiverse community based organic food products using ethical principles.,Indonesia,2,People,2.6 Other,"Nurtures indigenous farmers, hunters and fishermen across Indonesia as entreprenuers by providing capacity building support and business tools.",Indonesia
