,Unnamed: 0,Company,Website,Source,Description,Location,SDG Goal,five Ps,Rainmaking SDG Subtopic,Impact Statement,Location of Impact
415,415,CredoLab,http://www.credolab.com/,Rainmaking,CredoLab partners with banks consumer finance and other retail lenders to improve the financial inclusion and financial access of underbanked consumers and elevate their standard of living. The wind of change is here.,Singapore,1,People,1.1 Mobile connectivity for financial inclusion,Revolutionary credit scoring for the Emerging Market,Singapore
416,416,LEDsafari,http://ledsafari.com/,Rainmaking,LEDsafari is a social startup based in Lausanne Switzerland that aims to teach solar technology in schools using an innovative pedagogical approach and providing hands on training by making a solar LED lamp.,switzerland,7,Prosperity,7.5 Other,Every learner in the world studying under the light of a sustainable solar LED lamp built by him/herself,Emerging
417,417,CRIATERRA Earth Technologies,http://www.criaterra.com,Rainmaking,"In a reality of 1/3 of our world%u2019s waste from construction and demolition, and a rapidly growing green building industry (expected to reach $254B in 2020), CRIATERRA's Unique offer to the world is a patented technology to create building products that have the unique combination of constructive strength and deep sustainability. CRIATERRA is creating a revolution in mineral-based material solutions (clay and cement) just like bio-plastics are transforming the plastic industry.",Israel,13,Planet,13.5 Decarbonised Buildings,We develops 100% natural Eco-Innovative materials that are as strong as concrete and yet create only 5% of its environmental imprint.,Israel
418,418,Crické,http://crickefood.com,Rainmaking,"We aim to introduce insects in the Western diet thanks to delicious insect-based food products. Our two main products are: Cricket crackers: a salty snack cracker enriched with 15% cricket flour and declined in three different flavours: rosemary, sesame, and pepper (21% proteins). Cricket fusilli: a high protein pasta enriched with 15% cricket flour (20% protein).",United Kingdom,2,People,2.4 New Protein Sources,"Food products made of insects, not just sustainable but also super tasty",United Kingdom
419,419,Cricket One,http://cricketone.asia,Rainmaking,"We produce the most sustainable and affordable protein from cricket. We transform refurbished shipping container into a breeding unit that is capable to rear cricket intensively and vertically on agricultural by-products. We provide the technology to farmers to grow the insect on their organic by-products, acquire the output and process into the most sustainable protein source.",Vietnam,2,People,2.4 New Protein Sources,Cricket One Produces The Most Sustainable & affordable Protein from Cricket,Emerging
420,420,CricketOne,https://cricketone.asia/,Rainmaking,CricketOne produces the most sustainable and affordable protein from crickets by developing technology and process to rear crickets intensively on agricultural by-products. CricketOne builds shipping containers integrated with their own designed cricket towers with an environmental monitoring and control system that allows optimized rearing of crickets.,Vietnam,2,People,2.4 New Protein Sources,Produces and supplies edible insects,Vietnam
421,421,Crickster,https://www.eatcrickster.com/,Rainmaking,Crickster explores the boundaries of wellness and sustainability within the Western food culture by bringing you delicious and natural food with insektmel adapted to your eating habits. Crickster growths through a diverse and relaxed atmosphere that allows experimentation; creativity and joy in working with others towards a common goal; To create healthy; sustainable food for you. We are driven to create authentic dining experiences where passion and purpose unite.,Denmark,3,People,,Crickster would like to lead the world toward a healthier and more sustainable food culture.,Developed Markets
422,422,Crisis Track,crisistrack.com,Rainmaking,"Crisis Track offers mobile solutions for emergency response management. Crisis Track SAR is a search and rescue software for local SAR teams and supports planning and building of search teams, demarcating search areas,real-time team movement tracking, evidence and clues collection and search operations reporting. The application can collect data on the field and transfer it when internet connectivity is available. It also supports disaster damage assessment and hazardous material related incident management.",USA,1,People,1.3 Disaster risk reduction technologies,Disaster response management solutions,United States of America
423,423,CrisisFlo,crisisflo.com,Rainmaking,"CrisisFlo is an emergency management software solution. It allows users to share information, access files, manage tasks, and send alerts. Provides a dashboard which allows users to manage and track activities. It is compatible with both desktop and tablets. Offers subscription-based pricing model.",Australia,1,People,1.3 Disaster risk reduction technologies,Emergency management software solution,Australia
424,424,Crisisworks,crisisworks.com.au,Rainmaking,"Crisisworks offers a suite of cloud-based tools for emergency managers for enhanced coordination, communication, situational awareness and resilience across all phases including - Planning, Preparedness, Response and Recovery. Allows users to conduct Rapid Impact Assessments, generate reports and share data on economic impact to property, infrastructure, environmental and social impacts. Additional tools include recovery management via registration of at-risk population in addition to emergency announcements and notifications, mobile web apps and social media integration.",Australia,1,People,1.3 Disaster risk reduction technologies,Municipal emergency management and recovery system,Australia
425,425,LGM S.A.,http://lgm.io,Rainmaking,"The LGM technology is a patent pending electronic controller that removes the nominal power limit from existing electricity generators. It's effective %u2013 we get 15W from 3W dynamo %u2013 that%u2019s 5x more! It's scalable %u2013 we have a ready product for bicycles and a prototype for 3kW generator - it%u2019s 1000x more! Its universal %u2013 it can be used with any product %u2013 from microgeneration through motorcycles, cars, drones, and airplanes to industrial and renewable energy generators!",Israel,7,Prosperity,7.4 Energy Enablers,"Patent pending smart controller technology, that can make any electric generator supply even a few times more power than nominal.",Israel
426,426,Crofarm,http://crofarm.com/,Rainmaking,Crofarm has developed an innovative digital platform to bridge farmers with retailer markets in India. This platform enables just in time crop logistics empowering farmers to receive fair prices for their produce increasing the quality of goods getting delivered and reducing the amount of food that is lost to spoilage. The platform is bolstered by smart analytics which allows for accurate prediction of supply and demand trends further deepening the value proposition for farmers and retailers alike.,India,2,People,2.2 Digital technologies for Smallholder Farmers,Delivering freshness direct from farms to your neighbourhood store.,India
427,427,Crop Intellect Ltd,http://www.cropintellect.co.uk/,Rainmaking,Crop Intellect is a research and development company focusing on agricultural innovations. Plants are the best chemists as every function performed is due to chemical changes and signals. Our research identifies molecules produced by plants in certain condition and uses these to stimulate actions which improve the efficiency of resource capture and productivity. Inclusion of these molecules in crop nutrition products reduce significantly the environmental impact and increase yield and quality.,United Kingdom,2,People,2.1 AgTech for Sustainable Farming,Crop Intellect innovates agricultural technologies out of the ordinary to make a positive impact to the world's agricultural sustainability!,United Kingdom
428,428,Crop One,cropone.com,Rainmaking,Crop One Inc. is an agribusiness company based out of Minnesota which is primarily a consultancy in the farming segment. They work with several agribusiness companies to provide services such as soil sampling and mapping as well as farm equipment. They claim to use sound agronomics in farming methods and provide stewardship and precision agriculture to local farms to grow food more efficiently.,USA,2,People,2.1 AgTech for Sustainable Farming,Services for farm data collection and analytics,United States of America
429,429,CropFocus,cropfocus.com,Rainmaking,"CropFocus has a team of agronomy consultants acting as data managers. All the data collected from multiple data streams including on-field sensors, satellite imagery, vehicle yield monitors, etc. is uploaded into private servers provided by the company's data centers. The data managers work up on this data and generate reports including field maps, NDVI and soil maps, irrigation boundaries, etc. The consultants can also visit the client's farms and help in setting up the data collection systems including sensors and yield monitors and displays.",USA,2,People,2.1 AgTech for Sustainable Farming,Provides agricultural data management and analysis services,United States of America
430,430,CropIn Technology,https://www.cropin.com/,Rainmaking,"CropIn Technology is a leading Full-Stack AgTech​ organization that provides SaaS solutions to agribusinesses globally. With the vision to maximize per acre value​ and the mission to make every farm traceable​, CropIn adds value by increasing efficiency, scaling productivity and strengthening sustainability across the board.",India,2,People,2.1 AgTech for Sustainable Farming,To trace every farm.,India
431,431,Cropital,http://www.cropital.com,Rainmaking,"Cropital is a globally recognized organisation whose development is being supported by institutions in the US, Netherlands, Malaysia and the Philippines. This is a social enterprise providing farmers access to scalable and sustainable financing.Cropital provides you as our users and investors an opportunity to directly impact a life and at the same time grow your money. Your decision to join our community brings our smallholder farmers a step closer to the hope of a better life.In Cropital, doing good comes with great rewards. Net profit sharing scheme has been put into place to secure sustainability and scalability. Use cases and historical statistical data show rates of returns for users, ranging from 3% to 30% in less than 6 months time.",Philippines,2,People,2.2 Digital technologies for Smallholder Farmers,A peer-to-peer lending platform providing farmers in the Philippines with access to low cost and sustainable loans.,Philippines
432,432,Liberian Energy Network,http://www.lightingliberia.org/,Rainmaking,"Liberian Energy Network (LEN) provides small and medium scale, off-grid solar power to Liberians. LEN is the only viable near-term option to provide basic light and electricity to the 98% of Liberians who live off the grid. The units are simple “plug and play” solar lanterns and home lighting systems, which have been approved by the World Bank Lighting Africa program.",Liberia,7,Prosperity,7.1 Energy Access Solutions,Lighting up Liberia.,"Liberia, United States of America"
433,433,Crowde,http://crowde.co/,Rainmaking,"Crowde builds a crowd-investing platform that connects small-scale agriculturists with socially responsible investors. In return, investors will get interest return in every harvesting period when the farmers have sold their product. Our platform will not only connect our beneficiaries with the investors, but next year, it is also possible to connect them with potential buyer who interested with agricultural products.",Indonesia,2,People,2.2 Digital technologies for Smallholder Farmers,Crowde wants to assist Indonesian farmers escape the cycle of indebtedness by preventing low-income farmers from becoming the subjects of loan sharks and creating a platform connecting farmers and reliable investors.,Indonesia
434,434,Crowdio A/S,http://www.crowdio.com,Rainmaking,Live chat platform that provide a 24/7 website coverage through freelance agent network,Denmark,8,Prosperity,,Vores ambition er; at Crowdio inden for de næste fem år bliver verdens førende arbejdsplads for mennesker med handicap. Vi mener; at samfundets – til tider – rigide strukturer betyder; at al for megen intellektuel kapacitet forspildes.,Developed Markets
435,435,CrowdRise,https://www.crowdrise.com/,Rainmaking,Crowdrise is a crowdfunding platform that's about raising tons of money for charity and having the most fun in the world while doing it. Crowdrise is way more fun than anything else aside from being all nervous about trying to kiss a girl for the first time and her not saying something like 'you've got to be kidding me.' The Crowdrise site is a unique blend of online fundraising crowdsourcing social networking contests and other nice stuff.,USA,16,Peace,16.4 Civic tech platforms,To raise tons of money for charity.,United States of America
436,436,Lighting Engineering Solution,lightingengineeringsolution.com,Rainmaking,Lighting Engineering Solution provides off-grid systems to rural customers in Cambodia. Claims to have provided power to 4k homes. Provides SolarBox power supply systems for residential and commercial purposes. Also offers PAYGO solutions and other financing options for solar homes.,Cambodia,7,Prosperity,7.2 Energy Sources,Provider of solar energy solutions to off-grid communities,Cambodia
437,437,CSMT Agri,csmt-agri.com,Rainmaking,"CSMT Agri offers UAV-enabled precision agriculture services. Its services include soil monitoring, crop monitoring, consulting services, weather forecasting, agronomy services etc. It utilizes its proprietary technology To provide precise solutions. The farm data collected from CSMT’s UAV is reviewed and analyzed to prepare and share the reports on crop stress, yield forecasts etc. Also, offers solutions to the identified problems by the agronomists. Also, offers its technology equipment, training, and support services. It also provides weather forecast data to its clients. It serves to Governments, Companies and Local Universities. The company is operational in Singapore.",Singapore,2,People,2.1 AgTech for Sustainable Farming,Offers UAV-enabled precision agriculture services,Singapore
438,438,Liox,liox.com,Rainmaking,"LIOX is a developer of lithium-air batteries for energy storage. It conducts research and development on lithium-air batteries for their application in an electric vehicle, space, and defense sectors.",USA,7,Prosperity,7.3 Energy Storage,Developer of lithium-air batteries,United States of America
439,439,Cuckoo Workout,https://www.cuckooworkout.com,Rainmaking,Cuckoo Workout is a browser based product with an automated tool that encourages employees to take micro exercise breaks during the workday. Employees are reminded to take breaks by an alarm and then 1-3 minutes long exercise videos guide employees through the fun exercises. Cuckoo is free for consumers. Revenue comes from selling full version licenses to companies that care of the wellbeing of their employees.,Finland,8,Prosperity,,Cuckoo Workout is an easy-to-use break exercise program that activates the work community in a fun way. It allows sedentary people to take breaks and sometimes activate themselves away from the terminal.,Developed Markets
440,440,Cuidum,http://www.cuidum.com/,Rainmaking,"Cuidum is an online marketplace for caregivers operating in Spain. Users can register online and avail subscription based services for as senior care, child care, medical care, caregivers for disability and more. Users are required to specify their caregiving requirements online post which the company contact the user and facilitates transactions to confirm their booking. The company's basic service is offered at ~$500/month. The company also provides an option of hiring caregivers by the hour. ",Spain,3,People,,Find a valid and professional caregiver to meet home care tasks,
441,441,Cumplo,http://cumplo.cl,Rainmaking,Cumplo Chile S.A. operates an online platform which connects loan applicants with a network of investors. The company was founded in 2012 and is based in Las Condes Chile.,Chile,1,People,1.1 Mobile connectivity for financial inclusion,Largest collaborative financing platform in Latin America.,Chile
442,442,Lithio Storage,http://lithiostorage.com,Rainmaking,"Lithio Storage is working on fabricating the next generation of flexible, self-healing, longer lasting batteries containing our laboratory-optimized gel electrolyte. Our gel-based battery is safer, cost-effective, scaleable, and can last up to 2 or 3 times as long as current batteries. The Lithio battery aims to meet the demands of energy storage for current and future technologies, which includes renewable energy systems and wearable electronics.",USA,7,Prosperity,7.3 Energy Storage,"Lithio Storage is developing durable, enhanced lifetime, non-flammable batteries for grid-scale storage systems.",United States of America
443,443,Little Sun,http://www.littlesun.com/,Rainmaking,Little Sun currently has distribution in eight African countries. Launched in July 2012 at London s Tate Modern the Little Sun project has since distributed over 165000 Little Sun lamps worldwide and that number is quickly growing. Little Sun s unique combination of beautiful design and exceptional engineering has made the lamp popular across the globe and people are discovering just how useful the lamp is even in areas with electricity.,Germany,7,Prosperity,7.1 Energy Access Solutions,provide clean solar powered Little sunlight,Germany
444,444,Cyan Reef,https://cyanreef.com/,Rainmaking,We are creating investment services platform (robo advisory) investing in only sustainable portfolios (supporting companies with the same values). ,Netherlands,17,Partnerships,,Grow your wealth by investing in sustainable goals,
445,445,Cycle Technologies,https://www.cycletechnologies.com/,Rainmaking,"Cycle Technologies offers family planning and birth control solutions. The portfolio of the solutions includes CycleBeads, Dot and 2Day. CycleBead is based on the standard day method of family planning and used to prevent or plan pregnancy by tracking the start dates of a woman's menstrual cycle. TwoDay Method offers fertility awareness solutions.",USA,5,People,,Modern family planning solutions that empower women,
446,446,LO3 Energy,https://lo3energy.com/,Rainmaking,"a technology and business development consulting firm with a focus on emerging decentralized business models and innovative technologies related to energy, cleantech and currency systems",USA,7,Prosperity,7.4 Energy Enablers,,United States of America
447,447,Lodicha Solutions,lodicha.net,Rainmaking,"Lodicha Solutions is an African company that provides solar installation services. Specializes in urban rooftop PV systems, mini-grids, rural electrification and others. Services include custom design, installation, financing, commissioning and others. Developing a rural project that will provide solar lighting solutions to clinics in Montserrado.",Liberia,7,Prosperity,7.2 Energy Sources,Provider of urban solar PV systems and rural electrification,Liberia
448,448,Lumeter Networks,http://www.lumeter.net,Rainmaking,Lumeter believes that Pay As You Go technology increases affordability of such desirable products by amortizing the cost to the customer. We provide embedded ready to integrate PAYG technology and a customizable software back end to manufacturers and distributors of such products.,USA,7,Prosperity,7.1 Energy Access Solutions,A pre-paid electricity meter and cloud-based accounting platform.,United States of America
449,449,LuminAID Lab,http://www.luminaidlab.com,Rainmaking,"LuminAID Lab develops solar-powered, inflatable lamps for emergency aid, humanitarian relief, and recreational use outdoors. The LuminAID light is a solar-powered, inflatable lamp that packs flat and inflates to create a lightweight, waterproof lantern. The LuminAID provides up to eight hours of LED light ideal for disaster relief situations, recreational use outdoors or in the home. Our vision is to make light more sustainable, available, and affordable for everyone.",USA,7,Prosperity,7.1 Energy Access Solutions,"LuminAID Lab develops inflatable, solar-powered lights for emergency aid, humanitarian relief, and recreational use outdoors.",United States of America
450,450,LunaLight,lunalight.org,Rainmaking,"LunaLight is a company based in California that manufactures lighting systems for off-grid communities. Products include rechargeable solar LED lights, LED lanterns and mobile phone chargers. Uses 1.5W powered solar panels to power the lights.",USA,7,Prosperity,7.2 Energy Sources,Provider of solar LED lights and charger systems for off the grid communities,United States of America
451,451,D4H Technologies,d4htechnologies.com,Rainmaking,"d4htechnologies offers software solution for incident response. Its products include D4H Personnel & Training, D4H Equipment Management, D4H Incident Management, and D4H Incident Reporting. D4H Personnel & Training helps in managing training, attendance, and personnel availability. D4H Equipment Management manages inventory. It stores information related assets such as repair history, expiry dates, and service history logs.D4H Incident Management is a real-time incident management software. D4H Incident Reporting automatically generate incident reports with charts, visualizations, and statistics. It caters to corporates, industries, and governemnt agencies.",Ireland,1,People,1.3 Disaster risk reduction technologies,Incident response software solution,Ireland
452,452,Da-mas.org,http://da-mas.org/,Rainmaking,Da-Mas is a crowdfunding platform which enables primary and high school teachers to raise charitable donations for projects in their classrooms. The technology is being built in Denmark and will be deployed in Mexico across 100 schools in 8 states partnered with Teach for Mexico (http://ensenapormexico.org). Da-Mas is scheduled for launch with the start of the 2018-19 school year in August.,Denmark,16,Peace,16.4 Civic tech platforms,Crowdfunding platform which enables active school teachers to fund projects in their classrooms via charitable donations,Denmark
453,453,Da-nach-da,http://www.danachda.com,Rainmaking,The 'Da-Nach-Da' project is designed to educate the next generation and prepare them to face the challenge of climate change. The interactive material enables children to understand the connections between daily routines and climate change.,Austria,4,People,,Learn interactively with students about sustainability and the connection to our everyday life and our options for action,
454,454,M-KOPA,http://www.m-kopa.com,Rainmaking,M KOPA is a mobile technology company based in Nairobi Kenya. Since 2011 M KOPA helped Kenyans acquire solar power products by offering innovative payment plans and a distribution model tailored to the needs of the customers.,Kenya,7,Prosperity,7.1 Energy Access Solutions,Make high quality energy affordable to everyone,Kenya
455,455,Daman,https://damandigital.com/,Rainmaking,"Daman Digital provides suite of value-based solutions for patients. Patient-Reported Outcome Measurements (PROMs) give the ability to measure the patient's quality of life through the subjective assessment of symptoms. The health buddy is a cloud-based that platform enables patient empowerment, a collaboration between patients and healthcare professionals, treatment adherence, and others.\r",Denmark,3,People,,We believe that empowering patients through our digital tools will lead to better and more efficient treatments. Thus; we provide services for all members of the healthcare system in partnerships with patient advocacy groups; hospitals; pharma; and leading healthcare professionals.,Developed Markets
456,456,M-Kopa Solar,www.m-kopa.com/,Rainmaking,"m-kopa provides pay-as-you-go electricity to off-grid households and businesses by combining micropayment and mobile technology to enable leasing of solar power systems. m-kopa’s financing model makes the company’s solar systems affordable for east african households and businesses. each system is bought with an initial deposit of $35, followed by 365 daily payments of $0.50, which is less than typical customers’ daily spending on kerosene. the system comes with a battery, a phone charger and a smart sim connection. when a payment is made via mobile phone, a signal is sent from the central platform to activate the battery and power is provided. we believe that off-grid energy provision can be truly transformative for millions of people living off the grid. jesse moore – co-founder and ceo, m-kopa solar after payment completion, the customer owns the solar system outright. customers with good payment behavior are then offered a range of upgrades if they continue with their $0.5 per day payment plan. these upgrades range from additional lights, energy-efficient cook stoves, smart phones and solar tvs, all adding additional revenue for m-kopa. the company has connected more than 400,000 homes in east africa to solar power, and aims to reach one million homes by the end of 2017. why you should care more than 620 million people, or two-thirds of the population in sub-saharan africa, are without access to an electricity grid . by combining micropayment and mobile technologies, m-kopa is rapidly growing in its quest to provide renewable energy to customers for whom clean, affordable electricity was previously inaccessible.",Kenya,7,Prosperity,7.1 Energy Access Solutions,pay-as-you-go solar energy to off-grid households,Kenya
457,457,M-PAYG,http://www.mpayg.com/,Rainmaking,M-PAYG is a company focusing on providing clean energy in developing countries through pay-as-you-go model. The company gives out solar systems on lease and the user repays by mobile micro-installments until the complete ownership of the system. The company targets people living below the poverty line in developing countries for their solutions.,Denmark,7,Prosperity,7.1 Energy Access Solutions,Pay-as-you-go solar system for rural communities,Denmark
458,458,DareDisrupt,https://daredisrupt.com/,Rainmaking,Defining Business by Problems Solved. Not Products Sold.,Denmark,17,Partnerships,,All our activities are done with impact in mind. - We say yes to projects which have a positive impact on society. - We continuously challenge each other and our clients to increase impact. - We also say yes to: - Selected clients even if they cannot pay our regular prices - Support selected dream projects envisaged by our staff - We report internally on these initiatives.,Developed Markets
459,459,Magnetic Motors,magneticmotors.net,Rainmaking,"Magnetic Motors is a motor company that has discovered excess energy found in magnets. Applying to a motor system, we can provide excess free energy to the automotive industry and other heavy industries, saving up to 90% or more in electricity, a true game changing technology. Our motors can also provide free energy to rural or off grid communities.",Singapore,7,Prosperity,7.4 Energy Enablers,Magnetic Motors strives to create a Revolutionary extra-efficient Motor providing inexpensive motor technology. The motor would provide free power to the motor industry and poorer communities as well as substantially lowering electricity bills.,Singapore
460,460,Daye,https://yourdaye.com/,Rainmaking,Brand of feminine care products,United Kingdom,5,People,,we exist to raise the standards in female health,
461,461,mapdwell,https://www.mapdwell.com/en/solar,Rainmaking,"mapdwell solar system is an online application that uses high-resolution satellite imagery and weather data to reveal the solar potential of every building rooftop in a given city or suburb. built on technology developed by the mapdwell team at the massachusetts institute of technology, the company have created an online platform which generates detailed 3d solar potential models of entire cities, accounting for everything from building geometries to tree foliage. the tool processes vast datasets and complex 3d data to visualize rooftop solar potential across communities for every hour of every day, based on historical weather data. end users in the mapped cities and suburbs simply type in their address to access detailed solar potential data for their property, including the estimated costs and benefits of going solar. users can then custom build a solar installation on the platform, based on how much they want to spend and how much electricity they want to generate. the tool is designed to provide everyone with the facts to support solar adoption, based on a powerful and scalable platform that allows any community to discover their untapped solar resources why you should care solar power is a vastly abundant and renewable energy resource. yet, in the united states, less than 1% of electricity production comes from solar power. mapdwell provides the solar industry with valuable data analytics, and it empowers individuals with the information they need to consider installing solar panels.",USA,7,Prosperity,7.4 Energy Enablers,3d solar potential mapping tool,United States of America
462,462,De Vrije Koe,http://devrijekoe.nl/,Rainmaking,With De Vrije Koe you can enjoy heritage natural beef whenever you want. Their animals graze in Dutch nature reserves full of fragrant flowers and herbs for at least three years. A vrije koe may enjoy it s life as it was meant to be and that s in the taste.,Netherlands,2,People,2.6 Other,delivers fair and sustainable meat from the Dutch Blaarkop cows,Netherlands
463,463,Decent,https://www.decent.com/,Rainmaking,a Decentralized Content Distribution Platform that is Open-Source and utilizes Blockchain to ensure security. Our intention is to revolutionize data distribution on the Internet.,USA,1,People,1.1 Mobile connectivity for financial inclusion,blockchain technology firm,United States of America
464,464,Deedster,https://deedster.com/,Rainmaking,"Deedster makes it both fun and easy to live more sustainably. Challenge your friends, mother in law or colleague in actions for the planet.",Sweden,12,Prosperity,,Digital plattform for sustainable consumption,
465,465,MASH Biotech,http://www.mash-biotech.com,Rainmaking,MASH Biotech is a Denmark based startup focused on developing waste management solutions. The company has developed a technology to convert dry waste or sludge from wastewater treatment facilities to produce oil and bio-char fertilizer rich in phosphorous. The company is backed by Climate KIC. Our experience comes from practical development and operations of many different process plants using a wealth of different feedstocks such as woody biomass; waste plastics; municipal solid waste and used car tyres. We have perfected the process of quickly and precisely establishing whether a given feedstock is viable and how to process it. Our activities have mainly focused on developing our solutions in India as we have found that the country has a host of competent suppliers willing to produce machines at extremely attractive prices. This benefits us and our customers.,Denmark,7,Prosperity,7.2 Energy Sources,"Turning waste resources into valuable and sustainable commodities such as electricity, biofuels and fertilisers.",Denmark
466,466,Deemly,https://deemly.co/,Rainmaking,Deemly is an audience engagement & verification tool for sharing economy businesses & P2P marketplaces. Provides plugin solutions for businesses in order to create trust among their users and minimize frauds.,Denmark,16,Peace,,The notion of trust is the most important factor when we are talking about sharing economy platforms and P2P transactions in general. Users who have built a trustworthy profile in one or more platforms are not considered trustworthy when they decide to use a new platform. Due to this; it is hard to participate on a new platform as they need to build their reputation from scratch. - Why not help sharing economy users prove that they are trustworthy based on their previous experience with similar platforms? - Isn’t it all about sharing? Why not share feedback from multiple platforms and create an integrated trust score that shows the trustworthiness of users overall?,Developed Markets
467,467,Defentry,https://www.defentry.com/,Rainmaking,"Defentry provides a data security solution. The platform offered by the company provides a solution to identify, monitor, and alert about data leaks. It scans governmental, open-web, deep-web and dark-web sources to provide alert about the data leak.",Sweden,16,Peace,,"The Defentry vision is to be a know-how leader and provide clients with leading ID safety solutions. The build-up of the Defentry solution was made following the models of Dan Egerstad and fully incorporates his techniques, packaged as a global scalable product.",Developed Markets; Emerging Markets
468,468,Mera Gao Power,http://www.meragaopower.com,Rainmaking,Mera Gao Power builds and operates village based solar micro grids to provide electricity to off grid households in Uttar Pradesh India.rnMGP s lighting facilities generate electricity through centrally located solar panels and distribute it across the village to power LED lights and mobile phone chargers in customers households.rnThese facilities offer MGP s customers both a lower priced and higher quality lighting alternative to kerosene.,india,7,Prosperity,7.1 Energy Access Solutions,To provide quality electric nighttime lighting to off grid villages ...,India
469,469,Demeter,https://demeter.life/,Rainmaking,"A central hub to rent and farm micro fields anywere in the world - with no middlemen, complexity or the overhead of a big organization - It's true, decentralized farm-to-table.",China,2,People,2.2 Digital technologies for Smallholder Farmers,Reinventing agriculture through blockchain,Hong Kong
470,470,Democracy Earth,https://www.democracy.earth/,Rainmaking,"“liquid democracy” experiment which allows users of an encrypted, blockchain-based app called Sovereign to vote peer-to-peer (not through governments) on any issue, or to transfer their vote to another trusted party anywhere",USA,16,Peace,16.4 Civic tech platforms,"Digital governance for small communities, corporations, large cities & nations",United States of America
471,471,Desert Control,https://www.desertcontrol.com/,Rainmaking,"utvikle, produsere, markedsføre og selge utstyr og tjenester for liquid nanoclay (lnc) til en rekke globale markeder; eksempelvis jordbruk, ørkenbekjempelse, by-grøntanlegg, parker, golfbaner, og til industrier som har bruk for lnc. selskapet kan også kjøpe og selge aksjer.",Norway,2,People,2.1 AgTech for Sustainable Farming,"Our Patented Liquid Nanoclay (LNC) Mixture Is Sprayed Directly On To Dry, Sandy Land, Creating A Water-Retaining Network In The Soil Profile",Emerging
472,472,Dether,https://dether.io,Rainmaking,"We are the world's first decentralised, peer-to-peer mobile app for crypto-to-cash payments and buyings goods and services in local/physical stores.",Gibraltar,1,People,1.1 Mobile connectivity for financial inclusion,P2P Ether network,Global
473,473,Develop Diverse,https://www.developdiverse.com/,Rainmaking,"Develop Diverse offers an AI-based recruitment platform. The company offers DD-scan, an AI-based software tool that promotes inclusive writing that will enable businesses to reach a wider and diverse talent pool. The DD-scan detects and colour-highlights implicitly and explicitly stereotypic language in texts and suggests neutral alternatives in real-time, resulting in recruit of more talented candidates regardless of gender, ethnicity or age.",Denmark,10,Prosperity,,"We know the great amount of time it requires to get enough talented applicants that are also a good cultural fit. Learning how to identify stereotypes in recruitment and communication content would make the process disproportionately longer unless you can delegate that task or have software do it for you. This idea is what brought us to build this tool. We want you to find the right talents in a shorter time, so you can hire quality while saving time in hiring and gaining time to focus on your own customers and employees.",Developed Markets
474,474,MinErgy,http://www.minergynepal.com/,Rainmaking,MinErgy is a group of organizations dedicated to working on energy efficient technologies and renewable energy at household and industrial level to achieve the improved energy environment and health conditions.,Nepal,7,Prosperity,7.1 Energy Access Solutions,Committed to empowering communities.,Nepal
475,475,Dharma,https://dharma.io/,Rainmaking,"a generic, permissionless protocol and developer toolset for issuing, underwriting, and administering debt instruments as cryptographic tokens.",USA,1,People,1.1 Mobile connectivity for financial inclusion,Blockchain enabled lending protocol,United States of America
476,476,Diffia,https://diffia.com,Rainmaking,"Diffia is a Norwegian digital health tech company that offers Nimble, a mobile clinical solution providing hospital doctors and nurses with a tool to digitalize clinical work including documentation, clinical workflow support and communication.",Norway,3,People,,"Nimble provides caregivers with a tool that saves time and needless effort, so they can focus on what’s really important - treating patients and saving lives. Quickly assess patients, organize tasks and communicate with other health professionals through an interface that works on all digital devices.",Developed Markets
477,477,Digital Platforms ASP,http://www.digitalplatforms.co.ke/,Rainmaking,There exists large disparities in the quality of education in schools in Kenya. Digital Platforms ASP seeks to bridge the quality divide by building a platform that would enable all learners access quality content over multiple devices. ,South Africa,4,People,,Feature Rich Learning Platforms,
478,478,dinex,https://goexplorer.org/slashing-diesel-engine-particle-emissions/,Rainmaking,"dinex has developed an exhaust system that can create almost zero particle emissions from heavy-duty diesel engines, significantly reduces air pollution-related diseases. dinex’s modern exhaust systems include a range of new-build and retrofit emission-control technologies, including selective catalytic reduction (scr) and the combined diesel particulate filter. the systems facilitate close to zero particle emissions and are particularly aimed at heavy-duty diesel engines, which usually emit harmful gasses such as nitrogen oxides, uncombusted hydrocarbons, carbon monoxide, and particulates. removing these gases will improve local air quality and reduce air pollution-related diseases. dinex aim to replace the conventional exhaust system with a “chemical factory” capable of saving co2 while ensuring cost-effectiveness and not compromising fuel economy. we will share our technologies with our partners as part of our mandate to make the world a cleaner place. torben dinesen – ceo of dinex. why you should care particulates and gases polluting the air are becoming more of a challenge in many large, heavily trafficked cities. this solution enables a significant reduction in harmful and polluting gases, as well as an almost 100% elimination of particulates. emissions reductions from diesel engines contribute to a healthier local environment for urban dwellers and people living near transportation corridors.",Denmark,13,Planet,13.4 Decarbonised Transport,slashing diesel engine particle emissions,Denmark
479,479,Diretto,https://www.diretto.se,Rainmaking,"Diretto makes it easy to pay a white salary, for example to the babysitter, someone who paints the house or to an au pair. More jobs are needed and more ways to enter the labor market.",Sweden,8,Prosperity,,"Diretto is a digital payroll agency for private individuals who employ help in their home, such as a babysitter, au pair or garden help. ",Developed Markets
