,index,Company,Website,Source,Description,Location,SDG Goal,five Ps,Rainmaking SDG Subtopic,Impact Statement,Location of Impact,Primary SDG,Additional SDGs,sub target,Source link,Multy label
73,73,Netled,https://netled.fi/,Plus impact,"Netled has two business areas: VERTICAL FARM VERA® Vertical Farm Vera® is a unique vertical farming system; a complete production system for plant growing. Netled operates as a turn-key technology partner: we provide the whole package from growing equipment to the automation needed for successful build-up of a plant factory. In addition, we offer maintenance services to help operate the plant accordingly. Vera® has multiple patents granted and pending. GREENHOUSE SOLUTIONS For greenhouses, we offer full lighting projects from light design to the delivery of light fixtures and installation accessories, including electrical cabinets and installation work. Our products for greenhouses are adjustable and can be attached to any automation system. Netled uses the CO2 and extra heat formed in fish production facility and this makes their carbon footprint smaller. Ecological solutions are very important for them. Which is why they wanted also to invest in LED-lighting. This way Netled are trailblazer not only in circular economy but also in minimizing the use of electricity.",Finland,"11,12,15,",,,,,,,,https://plusimpact.io/startups/netled,1
74,74,Nano Control,http://nanocontrol.se,Plus impact,"Nano Control became a pioneer in developing a new and patent pending solution for air pollution control. The company technology have a great separation efficiency for micro-nanoparticles up 99.85 % and the particles are separates according to their size and density. The company solution is applicable in several industries, mining industry, pharmaceutical industry, cement industry, paper industry, mechanical engineering, powder industry, metallurgy, electronics, food industry, chemical industry, etc.. Nano Control technology is unique in several ways. It is cheaper, more effective, easy to use, can be used at high temperatures, has constant suction power and consumes less energy than competing technologies. Nano Control's vision is to create a new de facto standard for air purification and environmental decontamination.",Sweden,"11,12,13,",,,,,SDG 9: Industry Innovation and Infrastructure,,,https://plusimpact.io/startups/nano-control,1
75,75,myFC Power,https://www.myfc.se/,Plus impact,"A fuel cell technology system produces electrical energy, and therefore addresses some of the limitations of lithium-ion batteries. Where other fuel cell systems can be very bulky our unique and patented micro fuel cell gives a freedom of geometrical design never seen before. We have succeeded in developing the world’s thinnest fuel cell, LAMINA™. Our core differentiation is our basic design: small, flat and shapeable fuel cells. That means incredible flexibility in applications, be it smartphones or electric cars. Our micro fuel cell technology use hydrogen gas and transform it into clean power. It all starts with a single Proton Exchange Membrane (PEM) fuel cell with a patented open-end design. myFC LAMINA™ fuel cells are flexible in shape and form, offering unique product design advantages. Since the myFC design also uses passive air feed and comprise no conventual bi-polar plate it provides cost advantages and gives a less complicated manufacturing process. myFC is at the cutting edge of a completely new solution to the challenges of electric mobility. Our technology allows consumer brands to differentiate their offering toward their clients – both in regards to user experience and carbon footprint.",Sweden,"7,11,",,,,,,,,https://plusimpact.io/startups/myfc-power,1
76,76,Muuvit!,https://www.muuvit.com/uk/about,Plus impact,"Muuvit tracks the children's journey around the world. They earn mileage by doing physical activity, taking them on a Virtual Global Adventure, opening new destinations as they reach their goals, encouraging learning along the way! Physical activity is recorded via Muuvit App. Muuvit combines technology, with physical activity and learning, encouraging cultural diversity, integration and collaboration. Invented initially for children from low income backgrounds to combat increased levels of inactivity, Muuvit is a creative and fun way to get young people active while also delivering educational contents and messages. Our mission is to make healthy living easily accessible and fun. Together with our partners and customers we turn activity into an inspiring, engaging experience!",Helsinki,"3,4,",,,,,,,,https://plusimpact.io/startups/muuvit,1
77,77,Matsmart Scandinavia,https://www.matsmart.se/,Plus impact,"Matsmart sells rescue-planet-stuff that would otherwise be thrown away due to either overproduction, incorrect packaging, seasonal trends, short or sometimes best past dates. Just throwing these products away would be an incredible waste of our planet's resources. So we simply save them, and sell them with super discounts. Our long-term goal is to eradicate food waste and waste overall and we always strive to be better and more durable on all fronts.",Sweden,"11,12,13,",,,,,,,,https://plusimpact.io/startups/matsmart-scandinavia,1
78,78,Kusinta,http://kusinta.com,Plus impact,"Kusinta is working to develop and commercialize a service for energy efficiency and temperature control in buildings. We combine hardware, software, AI in the form of machine learning and new approaches to create a service that delivers reduced heat consumption, reduced maintenance and increased comfort for those staying in the buildings. At Kusinta, we see new technology as a way forward for creating a more sustainable society and through our services we want to achieve change and improvement for a more efficient, intelligent and long-term sustainable world.",Sweden,"7,11,13,",,,,,,,,https://plusimpact.io/startups/kusinta-1,1
79,79,Drive for life,https://www.driveforlife.com/,Plus impact,"Drive for life is a customized leisure program for children and young people. In our program, they become part of a team of 5-7 young people, and through 48 sessions per year will experience coping with the situation, be seen, feel security and belonging. Fixed clear frameworks and activities they dream of provide solid results. We find that many children in the main target group, who are children from low-income families, are often absent from organized leisure activities. DFL Inspire therefore appears to be a good inclusion measure. The offer is given to everyone in 5-7th grade, to counteract outsiders and stigmatization. Our vision is “Drive for life will give children and young opportunity to create their own future. &quot; It is about real activities, real work assignments and real collaboration. Here, strong stories are created - stories that inspire, influence and develop everyone present.",Norway,"4,10,11,",,,,,,,,https://plusimpact.io/startups/drive-for-life,1
80,80,solarXbike,https://solarxbike.com/,Plus impact,"solarXbike a charging network for electric bikes that can be installed and adapted to different needs and locations. The design has been adapted for a circular economy and cyclists become members of our charging network and thus have access to charging where our charging stations are available. You can electric bike with renewable energy and we make sure that you get access to information about how much you reduce the climate impact by choosing our solution. Bicycle with solar charging is a healthy and environmental friendly alternativ for commuting short and medium short distance. Research shows that electric bikes has the same health effects as normal bikes, because the effect of pedal assist makes you go longer distance and more often. Caring for and maintaining your products is part of the Circular economy which makes it cheaper in the long run.",Sweden,"7,11,13,",,,,,SDG 7: Affordable and Clean Energy,,,https://plusimpact.io/startups/solarxbike-1,1
81,81,iCell,https://icell.se/,Plus impact,"Cellulose insulation saves energy while providing a healthy and comfortable indoor climate. iCell cellulose insulation is produced exclusively in Sweden – from raw material to finished product. The raw material we use consists of recycled newspaper, which in turn is made out of pure cellulose fibers derived from Swedish pine trees. Recycling newspaper in order to produce effective insulation is a great way to save on raw materials and energy. Increasingly higher energy prices and stricter environmental requirements make it necessary to reduce the use of the world’s energy resources and protect the environment. Residential and commercial buildings account for approximately 40% of Sweden’s energy consumption, however, most of this energy is wasted due to poor and frequently non-eco-friendly insulation. In addition, better and eco-friendly insulation from iCell offers great opportunities for optimizing energy savings.",Älvdalen,"7,11,",,,,,,,,https://plusimpact.io/startups/icell,1
82,82,Happy Boat,http://happyboat.se,Plus impact,"We are three researchers from Stockholm University who have jointly developed the method of using X-ray fluorescence to measure the amount of metals directly on the boat hull. X-ray fluorescence is a common technique used in mining exploration at scrap companies etc where you want to know if there are the metals you are looking for. These indicate which metals are the most percentage of a material. Our idea was to do a special calibration to get the answer in amount per unit area (micrograms per square centimeter) because we want to know the amount of toxins present on a boat hull. Happy Boat AB has a patent on this method today. The Happy Boat method differs from other XRF methods in the market in that it is based on a special calibration that gives the answer in micrograms per square centimeter. With our method you can probably know if the boat has been painted with poison paint in the past. There are several reasons to find out which poison levels are present in the bottom color of the boat hull. Poisons have traditionally been added to bottom colors to prevent the growth of the boat. However, the toxins can also adversely affect the ecosystem and also humans.",Stockholm,"11,14,",,,,,SDG 14: Life Below Water,,,https://plusimpact.io/startups/happy-boat,1
83,83,Gnosco,http://gnosco.se,Plus impact,"Gnosco offer products & services for improvement of healthcare processes, diagnostics and education within Dermatology. They offer a digital diagnostic support platform for faster and more secure diagnosis of skin lesions and wounds. The CE-certified platform, Dermicus, provides a faster and more efficient medical process, improved patient experience and is specifically aimed for communication between healthcare providers. As well as, Gnosco offer an education program for both First Line Clinicians (General Practitioners) and Dermatology Specialists. The program aims to improve knowledge about Malignant Melanoma and other related skin-diseases. Due to that fact that Gnosco has been active on the Swedish market for so long, a lot of structured data is already gathered. This data is now the basis for ongoing AI development features and products. The future lies ahead and we continue to strive for our mission to prevent unnecessary death, set correct diagnosis and do it more efficiently than today.",Sweden,"3,9,",,,,,SDG 3: Good Health and Well-being,,,https://plusimpact.io/startups/gnosco,1
84,84,Generasjon M,https://generasjonm.no/,Plus impact,"Generation M is an ideal company that creates relationships between generations. Each week, there are pleasant visits conducted where meaning, coping with the situation and having fun are the focus. Together, young and old share stories, interests and experiences through fun and exciting activities. The social impact is created through giving a meaningful part-time job for engaged youth between the ages of 14-20, who visit the elderly in nursing homes and care homes on weekends and giving a combined part-time job and apartment for students doing weekly social activities with their well-grown neighbors.",Norway,"3,8,11,",,,,,,,,https://plusimpact.io/startups/generasjon-m,1
85,85,Gamified Cohousing,http://gamifiedcohousing.rocks,Plus impact,"We create co-housing and coworking spaces by renovating abandoned buildings and turning these into working economies. Gamified Cohousing targets reusing and renovating existing buildings, adopting multiple home ownership schemes to prevent housing market speculation, measuring the ecoloogical footprints of the cohousing, gamer/inhabitants, implementing AI for a better living and working patterns of Cohousing and co-working spaces and creating living and working communities where people negotiate differences locally (political literacy), in a more economically, ecologically and socially sustainable way, with adaptable physical and social design where users can master their own social rules within that community via game mechanics. We are building a business on a value based mission that resonates with a new generation of conscious buyers that want to find new ways of living through sustainable development. Shared housing and shared economies will transform the concept of requiring a home from a cost calculated decision to a profit driven vision.",Helsinki,"11,12,",,,,,,,,https://plusimpact.io/startups/gamified-cohousing,1
86,86,Ekoligens,http://ekoligens.se,Plus impact,"EcoligentPaper® Clean Tech Hangers is the result of an innovation project run by EKOLIGENS AB in collaboration with the Swedish fashion industry and the Swedish forest and pulp industries in order to develop climate smart, garment hangers out of recycled cardboard and paper & product carriers with minimal environmental impact and powerful opportunities as branding tools. The clean tech hanger is a proof that a climate smart shift in material not only can make for a functional and more sustainable product; it can also be a strong branding tool. Patented production tech enables fast and low cost production of pressed paper fibre products with excellent mold replication. The result is a product with mechanical properties comparable to plastics in many applications. Cardboard and paper-based products are more easily recyclable than plastics. Plastic hangers of today are made of polystyrene (PS6/PS7), a none consistent recyclable material that make plastic hangers difficult or impossible to process in any retail stores existing waste streams or residential curbside recycling programs. The clean tech hanger, however, is recyclable as cardboard in existing recycling programs.",Stockholm,"11,12,13,",,,,,,,,https://plusimpact.io/startups/ekoligens,1
87,87,Ducky,https://www.ducky.eco/en/,Plus impact,"Ducky has developed some of the world's most innovative tools to measure, educate and mobilise people to take action on carbon sustainability. The tool combines established behavioral science, fun and technology to mobilize individuals and organizations to take direct action. In Ducky, our common purpose is contributing to a sustainable planet, and as co-workers we trust each other to perform all the tasks on our way because we follow our passion, and not because we are told to do so. We work toward positive societal change every day, and through collaboration we create amazing services and profit used to maximize our social value.",Norway,"12,13,",,,,,SDG 13: Climate Action,,,https://plusimpact.io/startups/ducky,1
88,88,Differ,https://www.differgroup.com/,Plus impact,"Differ puts together technology from subsidiaries and other suppliers of off-grid electricity equipment to create renewable electtricity packages for off-grid locations. We have installed equipment in the Norwegian mountains and in the Zambian countryside. Differ provides energy solutions to health posts in rural Zambia under the Solar4Health progamme. Our hybrid systems (Lithium & Lead Acid batteries combined) are giving rural health posts electricity for LED lighting, charging of equipment, vaccine fridges and fans - everything provided by Differ in one complete package. We also electrify staff quarters associated with the health clinics. We believe that keeping medical staff content is important for the long-run maintenance of these health facilities. The feedback from the physicians is unison - the change we bring provides a large step forward. Most health posts can be electrified using a relatively small system, as power is only used for basic services. Our experience is that a 1kWh lithium system is often sufficient to run the systems that a basic small health post requires, but the impact it makes is wonderful. We are continuously looking for interesting technology and implementation ideas that could make a difference, reduce the carbon footprint and create profits in small- and medium scale new electricity markets.",Norway,"7,11,",,,,,,,,https://plusimpact.io/startups/differ-1,1
89,89,Chabla,http://www.chabla.me/,Plus impact,"Chabla is a revolutionary mobile interpretation service for sign language users, their network and sign language interpreters. With Chabla sign language users have access to interpretation from their smart device at any time anywhere without a delay, in multiple languages. Chabla enables superior access to interpretation services, dramatically shorter waiting times and more flexible and spontaneous way of life for the deaf users. For the interpreters, it results more work possibilities and flexibility in working. For social network of deaf, it means totally new possibilities for communication – the first time in the world a hearing person can make a normal phone call to a deaf.",Kouvola,"3,8,10,",,,,,,,,https://plusimpact.io/startups/chabla-1,1
90,90,Legacy Group,https://www.legacyconsulting.dk,Plus impact,"Legacy Group is a company that makes social and environmental change possible. We help our clients to build their organizational legacy by drive sustainable change anywhere from implementation projects in small enterprises to Public Governance projects on a national level. We are currently running three projects within the company: - Legacy Consult where we advise private companies and governmental institutions developing and realizing their sustainability potential. - Legacy AI where we automize consulting services and make expensive consulting research cheaply available for SMEs through AI automation. - Legacy School where we run the Legacy School Program, a program designed to help schools structure their teaching and help their students perform better in national tests.",Frederiksberg,"4,11,",,,,,,,,https://plusimpact.io/startups/legacy-group,1
91,91,KOSTOMER,http://www.kostomer.com,Plus impact,"The Pitch KOSTOMER is a sustainable clothing brand that makes it possible to shop for clothes in your exact size and virtually try them on. Our vision is to be one of the most sustainable clothing brands in the world by being fair and transparent in everything we do. The What Study shows that over 56% of reasons why clothes shopped online get returned are due to wrong sizes and wrong fit, these are one of the major factors why overproduced and returned garments end up in landfills which causes pollution and excess carbon emissions to the environment. The How Our online store allows consumers to pick their desired clothes, take a quick body measurement with a smartphone under 30 seconds, and the ability to do a virtual try-on with their 3D body avatar before final purchase. We do not produce the clothes until we see the demand, we solve this by using a quicker time to market 3D garment design which is approximately 30 days compared to the traditional 90 days used by most competitors in the fashion industry. The Why The Fashion industry is the second most polluting industry in the world and this was the reason why we decided to change this by promoting responsible garment consumption. We only use premium certified fabrics such as organic cotton, recycled polyester, less water, and our fabric colors are obtained by natural pollination without using genetic engineering, so no chemical dying. Contact Email joseph@kostomer.com",Sweden,"9,12,13,",,,,,,,,https://plusimpact.io/startups/kostomer-1,1
92,92,Gemme Collective,http://www.thecommonclosets.com,Plus impact,"Luxury and designer fashion for rent. Gemme innovates the future of fashion – a world where we use what is already hanging in our closets. Gemme is a platform that enables fashionistas to share their closet. At Gemme Collective you can rent extraordinary products from stylish women at a fraction of the original price. You can also digitalize designer pieces from your own closet, your gems, and rent them out to like-minded women. A platform where you can enjoy and consume fashion, with no harm to the environment. Gemme wants to make it easy and fun to share what's already in all our closets. A modern way of consuming fashion for a sustainable future.",Sweden,"12,13,",,,,,,,,https://plusimpact.io/startups/gemme-collective,1
93,93,WE DO PLANTS,https://www.wedoplants.dk/,Plus impact,"WE DO PLANTS specializes in Vertical Agriculture where we grow our plants in a optimized and controlled environment in multiple layers, without using soil or pesticides. Our climate goal is to create a CO2-negative alternative to traditional agricultural formats while making it both profitable and scalable.",Kastrup,"9,11,13,",,,,,,,,https://plusimpact.io/startups/we-do-plants,1
94,94,Gastronaut,https://gastronaut.me,Plus impact,"Commercial-stage FoodTech startup with extremely competitive and innovative supply & value chain models in the massive, dinosaur catering market. *PROBLEM* All food-related businesses need to deal with physical supply-chain assets, which are hard and expensive to scale and also have an immense negative impact on the value propositions towards buyers. Specifically for catering buyers, this results in keeping them trapped in a captive market with uniform and interchangeable offerings within a single supplier and across suppliers. *SOLUTION* Gastronaut is a catering company with a radical business model that scales physical assets with the same ease, speed and cost as scaling software, while also improving the value chain. Specifically, we develop and coordinate a proprietary network of independent cloud kitchens (fundamentally different from other dark-kitchen models) to produce a complex catering service for a single buyer, and a single cloud kitchen to produce simultaneously for multiple buyers. Gastronaut's model allows for: - 9x higher margins than any caterer, - 2,5x higher margins than food-mediating/aggregating platforms, - in the consumer-facing food market with the highest AOV (catering) - while offering buyers the only award-winning and premium experience at mid-range prices. *POSITIVE IMPACT* Gastronaut partners only with talented immigrant chefs who bring specialised craftsmanship and sophisticated flavours exclusively from their home countries. This enables us to create jobs, integration opportunities and economic sustainability for immigrants to achieve breadth and depth of impact. This CSR credit is fully transferable to our clients without them paying or doing anything extra. Last, but not least, in this male-dominated industry 80% of Gastronaut chefs are women.",Sweden,"5,8,10,",,,,,,,,https://plusimpact.io/startups/gastronaut-1,1
95,95,TripDoodler ApS,https://tripdoodler.com,Plus impact,"TripDoodler is developing a “by travelers for traveler’s” online platform to help future travelers in making more sustainable travel choices with a unique travel planning tool that has a build in sustainability algorithm. We all make too few sustainable travel choices today, even with more than 55% of us saying we want to be more sustainable in their future travel. Why? We don’t know how. It’s too complex and perceived to have a higher price tag. Our mission is to make the sustainable travel choice easy for everyone. We are therefore building a platform that enable online travel planners to find, plan, organize, rate and share their travel in a - by travelers for travelers - community. We do this because we love to travel but also are concerned about how we go about it. We view sustainability is broader than climate alone. It also has a social and financial aspect. So, if we only say don’t travel, we lose out on the opportunity to make the traveling that actually does happen more sustainable. If we all today make just one more sustainable choice than we did yesterday, we are off to a good start. With our strong combination of experienced travel industry background and tech knowledge and experience, we are the team that can make this happen.",Frederiksberg,"8,12,13,",,,,,,,,https://plusimpact.io/startups/tripdoodler-aps,1
96,96,Innoscentia,http://www.innoscentia.com/,Plus impact,"Today we use systems to indicate freshness of products based on guesswork and estimation causing great losses throughout the value chain both in economic and environmental terms. About 10% of the total food waste can be traced to confusion and faulty use of best-before-dates which is the area we want to enhance. We develop sensor based analogue and digital indicators of real time food status to prolong shelf and consumption time, thereby reducing waste costs and food waste.",Sweden,"2,3,12,",,,,,SDG 12: Responsible Consumption and Production,,,https://plusimpact.io/startups/innoscentia-1,1
97,97,Skipit,http://www.skipit.cc,Plus impact,"Skipit is on a mission to transform the travel industry into a driving force for a sustainable future. We thrive on Innovation and customer experience. Allowing us to provide the next generation of travel solutions, focused around our customers, their needs and interests and allowing them to “Go Explore”. Public Transport, Anytime You Need It Our smart global positing software means no matter where you are, you can buy a ticket that suits your needs. No more guessing, no more fines, No more ‘cash only’, simply check in and out at your pleasure. A Digital Guide In Your Pocket We use the latest technology to take away the uncertainty and confusion of using local transportation. Augmented reality guides you to the right transport option, and ensures you feel confident to know that your going in the right direction. Small Change, Big Impact Were passionate about sustainability and want to empower our users to make sustainable choices. Skipit has three main pillars, that creates the foundation for our organisation. Pillar One- Create unique travel experiences and install confidence within our customers when traveling in a city. Pillar Two- Ensure the redistribution flow of visitors to benefit all areas of a city and promote sustainable development. Providing our users with the tools they need to leave a positive footprint on their host city. Pillar Three- Build knowledge and solutions within sustainable travel, by collaborating with and inspiring both our customers and partners on how they might also contribute to our vision.",København,"8,11,13,",,,,,,,,https://plusimpact.io/startups/skipit,1
98,98,Peppy Pals,https://peppypals.com/,Plus impact,"The Pitch A play-based, social and emotional learning app that allows all children ages 2-8 to play and learn essential skills for a prosperous future. The What Over the past 30 years we have become 40% less empathic, and over 550 million (13% of the world’s population) are suffering from mental health problems. Both of which derives from an underserved development of social and emotional skills (SEL). Global organisations such as World Economic Forum and OECD also notes that SEL is a crucial skill set in the future workforce. Research also shows that SEL can improve students’ performance by as much as 11 percentile points. The numbers are in. If children under five are equipped with SEL, they have a much better foundation for reaching their fullest potential later in life. However, there’s a lack of playful tools to do so, and an urgent need to level the playing field. As Minouche Shafik said: “In the past, jobs were about muscles, now they’re about brains, but in the future they’ll be about the heart”, which is why Peppy Pals has created “a world where hearts grow smart”. The How To give children the skills they need to reach their fullest potential, and at the same time level the playing field, we must consciously tap into every child’s social and emotional intelligence as part of the early childhood development. Peppy Pals is the first company in the world to gamify social and emotional intelligence without language. Our unique approach uses storytelling, humor and qualitative animations. Through five gender-neutral characters children explore scenarios relatable to real life that also sparks parent-child conversations. Our easy-to-use application has proven to reduce conflicts, form stronger relationships and help children talk vividly about emotions. By using a non-language method we have created a basis from which we can reach millions of children globally, including vulnerable populations and those affected by conflict, which makes us eager to continue to change lives on a much larger scale. The Why Peppy Pals was founded by Rosie Linder in 2013. With two daughters growing up in the digital era, Rosie had a dream to create high-quality games for children that were both entertaining and educational. She understood the importance of social and emotional learning and noted the difficulties with introducing and explaining more complex emotions to toddlers without playful tools that captures their attention. The idea of Peppy Pals was born. Rosie partnered with the award-winning game developers at Talawa Games and psychologist Bodil Wennberg with the aim of creating a fun, interactive app that teach children valuable lessons in emotional intelligence. In April 2014, Peppy Pals released our first app featured by world-wide by Google Play and Amazon. Since then, we have released several apps, books, a TV-serie with Viaplay and an educational tool. Our apps have been downloaded in 150 countries and the Peppy Pals brand and learnings are growing in several markets.",Sweden,"3,4,",,,,,,,,https://plusimpact.io/startups/peppy-pals,1
99,99,Planteslagterne,https://www.planteslagterne.dk,Plus impact,"The Pitch Planteslagterne make organic vegetarian and vegan plant-based beefs as alternatives to meat without compromising good taste and quality. We make healthy honest meat-alternatives with no additives, e-numbers or soy. The What Meat consumption is one of the largest contributors to global warming, and as the global focus on climate changes increases, the need for healthy and good tasting plant-based alternatives to meat is higher than ever. Still, it can be a major challenge for consumers to find alternatives where taste and quality have not been compromised and where different additives are not added. We make transparent, 100% plant-based vegan alternatives to meat where consumers do not have to make these compromises. The How With our meat-free alternatives, you can make a healthy, organic and vegan meal in a very short time while having a good conscience. We use no additives - only pure, local commodities to keep all the benefits that are rooted in the healthy vegetables. It is very important for us that our products are easy to prepare and cook. In a busy weekday we sometimes need to make a quick dinner without compromising with quality and health. The Why It is our common passion for plant-based food that brought us together in the summer of 2018. We had one goal: To make it easier and more convenient for everybody to eat more green. We want to offer plant-based products with an honest story where consumers do not have to compromise quality or taste.",Slagtehusgade 44,"3,15,",,,,,,,,https://plusimpact.io/startups/planteslagterne,1
100,100,Future Closets AB,http://hackyourcloset.com,Plus impact,"The Pitch We build sustainable solutions for the clothing industry by circulating second-hand clothes through subscriptions. The What The fashion industry is the second most polluting industry in the world, and we want to solve this problem. We want to change the mentality of the consumption of clothes and make the fashion industry sustainable. We believe that the biggest solution for the clothing industry to be sustainable is to stop producing clothes and start utilizing the clothes that already exist in the system. The How We solve this by closing the loop of the fashion industry. We offer our customers 3 to 5 items of handpicked second-hand clothes every month through a subscription. They get to use the clothes for 30 days before returning the clothes to us. Our stylists make sure to find items that match our customers' style profiles and sizes. The Why The clothing industry is the second most polluting industry in the world after oil and gas and this was the reason why we decided to change this. We also believe that the consumption pattern of people in the western world is over the roof. It motivates us to know that we can prolong the life of already produced clothes and make them valuable for a longer period of time.",,"9,12,13,",,,,,,,,https://plusimpact.io/startups/future-closets-ab-1,1
101,101,Finklusiv,http://www.finklusiv.dk,Plus impact,"Addressing financial exclusion… in Denmark. Small business owners and entrepreneurs report having difficulties to access corporate banking services and small business loans. Without access to banking, their business is at risk. We are developing the first inclusive financial solution for business owners in Denmark, starting with refugees.",København,"1,8,10,",,,,,,,,https://plusimpact.io/startups/finklusiv,1
102,102,Green Earth ApS,http://www.greenearth.dk,Plus impact,"The Pitch Green Earth is a supplier of 100% compostable/biodegradable products. Our products are the best substitutes to everyday single use products made up of plastic, thermocol and paper. Our products are made by considering the principles of circular economy and state of the art technology. The What Green Earth products are best alternative solutions to single use plastic products such as bowls,plates,cups and tableware etc. Green Earth products can help in conservation of trees as our products are made with re cycled paper which can be best alternative for regular paper products. Green Earth products can help to fight Climate Change as our Re cycled paper products can sprout into plants when planted after the use of products. Green Earth products can Save Environment as our products are 100% organic and made from plants no chemicals or plastics are used in making our products. Green Earth products are 100% bio-degradable & compostable naturally and are safer to planet. The How Green Earth's single use disposable tableware products such as plates, trays,bowls,etc.. are made from Plants. We do not cut trees and we make them from fallen leaves of Areca palm tree. Greenearth's Plantable paper products such as notebooks,business cards,invitation cards,calenders,flags etc..are made by recyckled paper and we embed them with seed once the use of our plantable paper products is finished we can plant them and watch them grow, once you plant our plantable paper products the paper bio-degrade and seed will sprout into plants making them living paper. Green Earth's re-usable coconut shell products are made using coconut shells which are usually ended up into landfills after the use, our artisans hand craft them into beautiful cups,bowls,spoons,glasses etc which makes them organic and completely nature friendly utensils. We are open to listen our customer requirements and do our best to customize our products designs according our customers need. The Why Plastic has been into human life such a way that it cannot be avoided and it is dangerous for survival of animals, sea life and man-kind in near future. Increased plastic use in every sector which needs hundreds of years to bio-degrade in this planet most of it usually ending up in landfills and oceans which resulting in entry of micro plastics into food chain. Lot of trees are cut to make paper products we are destroying our eco-system to fulfill our basic needs research says usage of paper is expected to double by 2050 the way we are destroying trees will not be safer for our planet This cannot be continued which will be a disaster for our up coming generations. Researched on alternative solutions which can be best solution to lot of harmful single use plastic products. Products which can help to reduce deforestation and conserve our nature and safer for planet. Green Earth was then born to provide sustainable solutions with its innovative products that are made out of waste.",,"11,12,13,",,,,,,,,https://plusimpact.io/startups/green-earth-aps-1,1
103,103,PARENTLY,http://www.parently.se,Plus impact,"We want to provide parents simplicity. Parently offer a more sustainable everyday life with a subscription service for baby products. Products from both suppliers, resellers and private persons. Choosing and buying strollers, baby carriers, car seats, cots etc. is an expensive and time consuming challenge, and sometimes the equipment is only used a few months per child. Then it has to be sold, given away or stored unused for years until the next kid comes. With a new subscription service for child gear, we want to contribute to the circular economy while giving families a high-quality experience without having to buy and own even more stuff. Long term without any time constraints. Short term rents for ex. travelling. We want to meet the ‘Nowner’ generation’s strive for freedom, experiences and access to solutions rather than consumption of things.",Sweden,"9,11,12,",,,,,,,,https://plusimpact.io/startups/parently,1
104,104,Flacon,https://www.linkedin.com/company/flacondenmark/,Plus impact,"The Pitch Flacon is a social start-up that fights single-use plastic in the hotel industry. We offer a circular solution that reuses shampoo- and shower gel containers. The What Soaps and shampoos offered in hotel rooms come in single-use plastic containers. Plastic is highly durable, slowly degrading and CO2 intensive, hence polluting our land-based environments and endangering our oceans A hotel operating with 100 guests a night can go through 109.500 single-use bottles over the course of a year. This amounts to more than 700 kilograms of plastic waste – or more than 1.4 tons of CO2 when being incinerated. These figures not only demonstrate environmental abuse, but also wasted economic opportunities. The How Flacon is an early stage start-up that is developing a circular, re-use alternative to single-use packaging. By switching from single-use to reuse we can save energy and resources, deliver better and more beautifully packaging and over time do away with the need for waste all together. We are starting our reuse-journey with a B2B service in the hotel industry. As it is now most hotels provide their customers with small plastic containers for shampoo and shower gel that are thrown away after a single (if any) use. Flacon will instead offer a reuse packaging system of collecting, cleaning, refilling and returning our flacons bio soap and shampoos for hotels. Flacon will be a mediator between hotel industry, personal care product suppliers and packaging producers and ensuring the circular reuse system between them. Strong and long-lasting partnerships with not only the end clients, but also personal care suppliers and packaging supplier is a crucial part of the business model. The Why The story of Flacon starts at a election course at CBS in social entrepreneurship in winther 2018, where the founders connected over a shared commitment to environmental change. For Flacon, year 2019 is our development and prototyping playground. We are currently collaborating with the Municipality of Copenhagen in their Testlab in the waste management facility for prototyping. We have our MVP and are about to start a small-scale pilot study to test our product and connected service in practice. Flacon is working on the following goals: Short term goal 1 (2019-2020): Running a pilot study that shows how re-use of personal care amenties in hotels is a more sustainable solution as well as financially sensical. Short term goal 2 (2019-2020): Securing investment based on pilot study. Medium term goal (2020): Developing a fully functioning, logistics chain for re-use of personal care packaging that can be scaled. Long term goal (2020): Having the 10 paying partnerships with hotel",Copenhagen,"12,13,14,",,,,,,,,https://plusimpact.io/startups/flacon,1
